id	description	en	local
def_16_invpyramid_4x4_s_desc		4x4 inverse pyramid-shaped building block.	4x4 inverse pyramid-shaped building block.
def_aircraft_engine_name		Medium Engine	Medium Engine
def_aircraft_engine_desc		An on/off signal controls engine startup and throttle signal controls energy output.	An on/off signal controls engine startup and throttle signal controls energy output.
def_aircraft_engine_s_desc		Medium diesel engine that can be connected to powered components.	Medium diesel engine that can be connected to powered components.
def_aircraft_engine_node_0_label		Throttle	Throttle
def_aircraft_engine_node_0_desc		Standard value between 0 and 1 that controls the throttle of the engine.	Standard value between 0 and 1 that controls the throttle of the engine.
def_aircraft_engine_node_1_label		Starter	Starter
def_aircraft_engine_node_1_desc		Increases the engine RPS using electrical power to start up the engine.	Increases the engine RPS using electrical power to start up the engine.
def_aircraft_engine_node_2_label		RPS	RPS
def_aircraft_engine_node_2_desc		The power supplied by the engine for inputting to other components.	The power supplied by the engine for inputting to other components.
def_aircraft_engine_node_3_label		Fuel	Fuel
def_aircraft_engine_node_3_desc		The fuel supply for the engine.	The fuel supply for the engine.
def_aircraft_engine_node_4_label		Air	Air
def_aircraft_engine_node_4_desc		The air supply for the engine.	The air supply for the engine.
def_aircraft_engine_node_5_label		In Coolant	In Coolant
def_aircraft_engine_node_5_desc		The return flow (cold) for the coolant system.	The return flow (cold) for the coolant system.
def_aircraft_engine_node_6_label		Out Coolant	Out Coolant
def_aircraft_engine_node_6_desc		The output flow (hot) for the coolant system.	The output flow (hot) for the coolant system.
def_aircraft_engine_node_7_label		Exhaust	Exhaust
def_aircraft_engine_node_7_desc		Out flow for combusted fumes from the engine.	Out flow for combusted fumes from the engine.
def_aircraft_engine_node_8_label		Exhaust	Exhaust
def_aircraft_engine_node_8_desc		Out flow for combusted fumes from the engine.	Out flow for combusted fumes from the engine.
def_aircraft_engine_node_9_label		RPS	RPS
def_aircraft_engine_node_9_desc		Output value giving data info on engine speed.	Output value giving data info on engine speed.
def_aircraft_engine_node_10_label		Temperature	Temperature
def_aircraft_engine_node_10_desc		Output value giving data info on engine temperature.	Output value giving data info on engine temperature.
def_aircraft_engine_node_11_label		Electric	Electric
def_aircraft_engine_node_11_desc		Electrical power connection.	Electrical power connection.
def_aircraft_propeller_name		Aircraft Propeller	Aircraft Propeller
def_aircraft_propeller_desc		The amount of thrust produced is directly linked to how much torque it receives from a connected engine.	The amount of thrust produced is directly linked to how much torque it receives from a connected engine.
def_aircraft_propeller_s_desc		A large propeller that can be used to generate thrust.	A large propeller that can be used to generate thrust.
def_aircraft_propeller_node_0_label		Power Received	Power Received
def_aircraft_propeller_node_0_desc		Receives power generated by an engine.	Receives power generated by an engine.
def_aircraft_propeller_node_1_label		Collective	Collective
def_aircraft_propeller_node_1_desc		Standard value between -1 and 1 representing the desired pitch amount.	Standard value between -1 and 1 representing the desired pitch amount.
def_air_exchanger_name		Air-Liquid Heat Exchanger 1x2	Air-Liquid Heat Exchanger 1x2
def_air_exchanger_desc		An intercooler that averages heat between air and a liquid at a rate proportional to the component's size.	An intercooler that averages heat between air and a liquid at a rate proportional to the component's size.
def_air_exchanger_s_desc		A heat exchanger that averages heat between air and a liquid.	A heat exchanger that averages heat between air and a liquid.
def_air_exchanger_node_0_label		Air In	Air In
def_air_exchanger_node_0_desc		Input air port.	Input air port.
def_air_exchanger_node_1_label		Air Out	Air Out
def_air_exchanger_node_1_desc		Output air port.	Output air port.
def_air_exchanger_node_2_label		Fluid In	Fluid In
def_air_exchanger_node_2_desc		Input fluid port.	Input fluid port.
def_air_exchanger_node_3_label		Fluid Out	Fluid Out
def_air_exchanger_node_3_desc		Output fluid port.	Output fluid port.
def_air_exchanger_node_4_label		Temp A	Temp A
def_air_exchanger_node_4_desc		Compartment air temperature.	Compartment air temperature.
def_air_exchanger_node_5_label		Temp B	Temp B
def_air_exchanger_node_5_desc		Compartment water temperature.	Compartment water temperature.
def_air_exchanger_5_2_name		Air-Liquid Heat Exchanger 5x2	Air-Liquid Heat Exchanger 5x2
def_air_exchanger_5_2_desc		An intercooler that averages heat between air and a liquid at a rate proportional to the component's size.	An intercooler that averages heat between air and a liquid at a rate proportional to the component's size.
def_air_exchanger_5_2_s_desc		A heat exchanger that averages heat between air and a liquid.	A heat exchanger that averages heat between air and a liquid.
def_air_exchanger_5_2_node_0_label		Air In	Air In
def_air_exchanger_5_2_node_0_desc		Input air port.	Input air port.
def_air_exchanger_5_2_node_1_label		Air Out	Air Out
def_air_exchanger_5_2_node_1_desc		Output air port.	Output air port.
def_air_exchanger_5_2_node_2_label		Fluid In	Fluid In
def_air_exchanger_5_2_node_2_desc		Input fluid port.	Input fluid port.
def_air_exchanger_5_2_node_3_label		Fluid Out	Fluid Out
def_air_exchanger_5_2_node_3_desc		Output fluid port.	Output fluid port.
def_air_exchanger_5_2_node_4_label		Temp A	Temp A
def_air_exchanger_5_2_node_4_desc		Compartment air temperature.	Compartment air temperature.
def_air_exchanger_5_2_node_5_label		Temp B	Temp B
def_air_exchanger_5_2_node_5_desc		Compartment water temperature.	Compartment water temperature.
def_air_exchanger_5_3_name		Air-Liquid Heat Exchanger 5x3	Air-Liquid Heat Exchanger 5x3
def_air_exchanger_5_3_desc		An intercooler that averages heat between air and a liquid at a rate proportional to the component's size.	An intercooler that averages heat between air and a liquid at a rate proportional to the component's size.
def_air_exchanger_5_3_s_desc		A heat exchanger that averages heat between air and a liquid.	A heat exchanger that averages heat between air and a liquid.
def_air_exchanger_5_3_node_0_label		Air In	Air In
def_air_exchanger_5_3_node_0_desc		Input air port.	Input air port.
def_air_exchanger_5_3_node_1_label		Air Out	Air Out
def_air_exchanger_5_3_node_1_desc		Output air port.	Output air port.
def_air_exchanger_5_3_node_2_label		Fluid In	Fluid In
def_air_exchanger_5_3_node_2_desc		 Input fluid port.	 Input fluid port.
def_air_exchanger_5_3_node_3_label		Fluid Out	Fluid Out
def_air_exchanger_5_3_node_3_desc		Output fluid port.	Output fluid port.
def_air_exchanger_5_3_node_4_label		Temp A	Temp A
def_air_exchanger_5_3_node_4_desc		Compartment air temperature.	Compartment air temperature.
def_air_exchanger_5_3_node_5_label		Temp B	Temp B
def_air_exchanger_5_3_node_5_desc		Compartment water temperature.	Compartment water temperature.
def_air_exchanger_9_3_name		Air-Liquid Heat Exchanger 9x3	Air-Liquid Heat Exchanger 9x3
def_air_exchanger_9_3_desc		An intercooler that averages heat between air and a liquid at a rate proportional to the component's size.	An intercooler that averages heat between air and a liquid at a rate proportional to the component's size.
def_air_exchanger_9_3_s_desc		A heat exchanger that averages heat between air and a liquid.	A heat exchanger that averages heat between air and a liquid.
def_air_exchanger_9_3_node_0_label		Air In	Air In
def_air_exchanger_9_3_node_0_desc		Input air port.	Input air port.
def_air_exchanger_9_3_node_1_label		Air Out	Air Out
def_air_exchanger_9_3_node_1_desc		Output air port.	Output air port.
def_air_exchanger_9_3_node_2_label		Fluid In	Fluid In
def_air_exchanger_9_3_node_2_desc		Input fluid port.	Input fluid port.
def_air_exchanger_9_3_node_3_label		Fluid Out	Fluid Out
def_air_exchanger_9_3_node_3_desc		Output fluid port.	Output fluid port.
def_air_exchanger_9_3_node_4_label		Temp A	Temp A
def_air_exchanger_9_3_node_4_desc		Compartment air temperature.	Compartment air temperature.
def_air_exchanger_9_3_node_5_label		Temp B	Temp B
def_air_exchanger_9_3_node_5_desc		Compartment water temperature.	Compartment water temperature.
def_air_exchanger_9_5_name		Air-Liquid Heat Exchanger 9x5	Air-Liquid Heat Exchanger 9x5
def_air_exchanger_9_5_desc		An intercooler that averages heat between air and a liquid at a rate proportional to the component's size.	An intercooler that averages heat between air and a liquid at a rate proportional to the component's size.
def_air_exchanger_9_5_s_desc		A heat exchanger that averages heat between air and a liquid.	A heat exchanger that averages heat between air and a liquid.
def_air_exchanger_9_5_node_0_label		Air In	Air In
def_air_exchanger_9_5_node_0_desc		Input air port.	Input air port.
def_air_exchanger_9_5_node_1_label		Air Out	Air Out
def_air_exchanger_9_5_node_1_desc		Output air port.	Output air port.
def_air_exchanger_9_5_node_2_label		Fluid In	Fluid In
def_air_exchanger_9_5_node_2_desc		Input fluid port.	Input fluid port.
def_air_exchanger_9_5_node_3_label		Fluid Out	Fluid Out
def_air_exchanger_9_5_node_3_desc		Output fluid port.	Output fluid port.
def_air_exchanger_9_5_node_4_label		Temp A	Temp A
def_air_exchanger_9_5_node_4_desc		Compartment air temperature.	Compartment air temperature.
def_air_exchanger_9_5_node_5_label		Temp B	Temp B
def_air_exchanger_9_5_node_5_desc		Compartment water temperature.	Compartment water temperature.
def_air_filter_name		Air Filter	Air Filter
def_air_filter_desc
def_air_filter_s_desc		Port used to allow air in and out of a fluid system.	Port used to allow air in and out of a fluid system.
def_air_filter_node_0_label		Air	Air
def_air_filter_node_0_desc		Allows fluid to flow in and out of an enclosed volume.	Allows fluid to flow in and out of an enclosed volume.
def_altimeter_name		Altimeter	Altimeter
def_altimeter_desc		Outputs distance above sea-level in meters.	Outputs distance above sea-level in meters.
def_altimeter_s_desc		An altitude sensor.	An altitude sensor.
def_altimeter_node_0_label		Altitude	Altitude
def_altimeter_node_0_desc		The measured altitude of the component in metres above sea-level.	The measured altitude of the component in metres above sea-level.
def_angular_speed_sensor_name		Angular Speed Sensor	Angular Speed Sensor
def_angular_speed_sensor_desc		This sensor outputs the angular speed of the component about the component's y axis.	This sensor outputs the angular speed of the component about the component's y axis.
def_angular_speed_sensor_s_desc		This sensor outputs its current angular speed in rotations per second, allowing you to measure how fast your vehicle is rotating.	This sensor outputs its current angular speed in rotations per second, allowing you to measure how fast your vehicle is rotating.
def_angular_speed_sensor_node_0_label		Angular Speed	Angular Speed
def_angular_speed_sensor_node_0_desc		The sensor's angular speed in rotations per second.	The sensor's angular speed in rotations per second.
def_artificial_horizon_name		Artificial Horizon	Artificial Horizon
def_artificial_horizon_desc		The horizon ball rotates up and down as your vehicle's pitch changes, and the central line gives an indication of your vehicle's roll. This is a useful component to have in your helicopter to make it easier to fly at night and in thick fog. An on/off signal can be used to toggle the backlight.	The horizon ball rotates up and down as your vehicle's pitch changes, and the central line gives an indication of your vehicle's roll. This is a useful component to have in your helicopter to make it easier to fly at night and in thick fog. An on/off signal can be used to toggle the backlight.
def_artificial_horizon_s_desc		The artificial horizon shows you the orientation of your vehicle with respect to the horizon line.	The artificial horizon shows you the orientation of your vehicle with respect to the horizon line.
def_artificial_horizon_node_0_label		Backlight	Backlight
def_artificial_horizon_node_0_desc		Enables the backlight when receiving an on signal.	Enables the backlight when receiving an on signal.
def_artificial_horizon_node_1_label		Electric	Electric
def_artificial_horizon_node_1_desc		Electrical power connection.	Electrical power connection.
def_azimuth_thruster_name		Azimuth Thruster	Azimuth Thruster
def_azimuth_thruster_desc		The thruster can be attached to a robotic pivot to provide steering as well as propulsion. This propeller will only operate underwater.	The thruster can be attached to a robotic pivot to provide steering as well as propulsion. This propeller will only operate underwater.
def_azimuth_thruster_s_desc		An azimuth thruster for boats.	An azimuth thruster for boats.
def_azimuth_thruster_node_0_label		RPS	RPS
def_azimuth_thruster_node_0_desc		Receives power generated by an engine.	Receives power generated by an engine.
def_battery_large_name		Electric Battery Large	Electric Battery Large
def_battery_large_desc
def_battery_large_s_desc		A large battery array for storing electrical charge.	A large battery array for storing electrical charge.
def_battery_large_node_0_label		Electric Store	Electric Store
def_battery_large_node_0_desc		Energy storage for the electrical system.	Energy storage for the electrical system.
def_battery_large_node_1_label		Charge	Charge
def_battery_large_node_1_desc		Data output giving the charge of the battery from 0 to 1.	Data output giving the charge of the battery from 0 to 1.
def_battery_medium_name		Electric Battery Medium	Electric Battery Medium
def_battery_medium_desc
def_battery_medium_s_desc		A medium battery for storing electrical charge.	A medium battery for storing electrical charge.
def_battery_medium_node_0_label		Electric Store	Electric Store
def_battery_medium_node_0_desc		Energy storage for the electrical system.	Energy storage for the electrical system.
def_battery_medium_node_1_label		Charge	Charge
def_battery_medium_node_1_desc		Data output giving the charge of the battery from 0 to 1.	Data output giving the charge of the battery from 0 to 1.
def_battery_small_name		Electric Battery Small	Electric Battery Small
def_battery_small_desc
def_battery_small_s_desc		A small battery for storing electrical charge.	A small battery for storing electrical charge.
def_battery_small_node_0_label		Electric Store	Electric Store
def_battery_small_node_0_desc		Energy storage for the electrical system.	Energy storage for the electrical system.
def_battery_small_node_1_label		Charge	Charge
def_battery_small_node_1_desc		Data output giving the charge of the battery from 0 to 1.	Data output giving the charge of the battery from 0 to 1.
def_button_key_name		Key Button	Key Button
def_button_key_desc		Once activated, pressing the button again will deactivate it instantly. The hold duration can be customised by selecting this component with the select tool. The external input can be used to simulate holding the button down using the output of another component. The button's default state can be configured by selecting it with the select component.	Once activated, pressing the button again will deactivate it instantly. The hold duration can be customised by selecting this component with the select tool. The external input can be used to simulate holding the button down using the output of another component. The button's default state can be configured by selecting it with the select component.
def_button_key_s_desc		A button that must be held down for a set duration before activating.	A button that must be held down for a set duration before activating.
def_button_key_node_0_label		Activated	Activated
def_button_key_node_0_desc		Outputs an on signal when [e] has been held on the button for the set duration.	Outputs an on signal when [e] has been held on the button for the set duration.
def_button_key_node_1_label		External Input	External Input
def_button_key_node_1_desc		Allows an external on/off signal to hold the button down.	Allows an external on/off signal to hold the button down.
def_button_key_node_2_label		Electric	Electric
def_button_key_node_2_desc		Electrical power connection.	Electrical power connection.
def_button_keypad_large_name		Large Keypad	Large Keypad
def_button_keypad_large_desc		Pressing the keypad will show a menu where the 2 numbers can be entered, along with a button for quickly inputting waypoint coordinates. A short pulse will be emitted from the keypad's pulse node when the confirm button is clicked and the stored numbers will be continuously output from the other output nodes. An on/off signal controls whether or not the keypad's backlight is enabled.	Pressing the keypad will show a menu where the 2 numbers can be entered, along with a button for quickly inputting waypoint coordinates. A short pulse will be emitted from the keypad's pulse node when the confirm button is clicked and the stored numbers will be continuously output from the other output nodes. An on/off signal controls whether or not the keypad's backlight is enabled.
def_button_keypad_large_s_desc		A keypad that allows 2 numbers to be input.	A keypad that allows 2 numbers to be input.
def_button_keypad_large_node_0_label		Output A	Output A
def_button_keypad_large_node_0_desc		Outputs the first stored value.	Outputs the first stored value.
def_button_keypad_large_node_1_label		Backlight	Backlight
def_button_keypad_large_node_1_desc		Enables the backlight when receiving an on signal.	Enables the backlight when receiving an on signal.
def_button_keypad_large_node_2_label		Output B	Output B
def_button_keypad_large_node_2_desc		Outputs the second stored value.	Outputs the second stored value.
def_button_keypad_large_node_3_label		Pulse	Pulse
def_button_keypad_large_node_3_desc		Emits a short pulse when a value is entered.	Emits a short pulse when a value is entered.
def_button_keypad_large_node_4_label		Electric	Electric
def_button_keypad_large_node_4_desc		Electrical power connection.	Electrical power connection.
def_button_keypad_small_name		Small Keypad	Small Keypad
def_button_keypad_small_desc		Pressing the keypad will show a menu where the number can be entered. The stored numbers will be continuously output from the other output node. An on/off signal controls whether or not the keypad's backlight is enabled.	Pressing the keypad will show a menu where the number can be entered. The stored numbers will be continuously output from the other output node. An on/off signal controls whether or not the keypad's backlight is enabled.
def_button_keypad_small_s_desc		A keypad that allows a number to be input.	A keypad that allows a number to be input.
def_button_keypad_small_node_0_label		Output	Output
def_button_keypad_small_node_0_desc		Outputs the stored value.	Outputs the stored value.
def_button_keypad_small_node_1_label		Backlight	Backlight
def_button_keypad_small_node_1_desc		Enables the backlight when receiving an on signal.	Enables the backlight when receiving an on signal.
def_button_keypad_small_node_2_label		Electric	Electric
def_button_keypad_small_node_2_desc		Electrical power connection.	Electrical power connection.
def_button_lock_name		Lockable Button	Lockable Button
def_button_lock_desc		An on signal must be sent to the button's unlock node to allow player interaction. The button's default state can be configured by selecting it with the select component.	An on signal must be sent to the button's unlock node to allow player interaction. The button's default state can be configured by selecting it with the select component.
def_button_lock_s_desc		A toggle button that can only be interacted with when unlocked.	A toggle button that can only be interacted with when unlocked.
def_button_lock_node_0_label		Toggled	Toggled
def_button_lock_node_0_desc		Outputs an on/off signal that can be toggled by pressing [e] on the button when unlocked.	Outputs an on/off signal that can be toggled by pressing [e] on the button when unlocked.
def_button_lock_node_1_label		Unlock	Unlock
def_button_lock_node_1_desc		Allows the button to be interacted with when receiving an on signal.	Allows the button to be interacted with when receiving an on signal.
def_button_lock_node_2_label		Electric	Electric
def_button_lock_node_2_desc		Electrical power connection.	Electrical power connection.
def_button_push_name		Push Button	Push Button
def_button_push_desc		An external on/off signal can also be used to control whether or not the button is pressed, allowing you to chain multiple buttons together to unify their outputs.	An external on/off signal can also be used to control whether or not the button is pressed, allowing you to chain multiple buttons together to unify their outputs.
def_button_push_s_desc		A button that outputs an on signal when you are pressing [e] on it, and an off signal when you are not.	A button that outputs an on signal when you are pressing [e] on it, and an off signal when you are not.
def_button_push_node_0_label		Pressed	Pressed
def_button_push_node_0_desc		Outputs an on signal when you are pressing [e] on the button, and an off signal otherwise.	Outputs an on signal when you are pressing [e] on the button, and an off signal otherwise.
def_button_push_node_1_label		External Input	External Input
def_button_push_node_1_desc		Allows an external on/off signal to control whether or not the button is pressed.	Allows an external on/off signal to control whether or not the button is pressed.
def_button_push_node_2_label		Electric	Electric
def_button_push_node_2_desc		Electrical power connection.	Electrical power connection.
def_button_push_2side_name		Push Button (2 Sided)	Push Button (2 Sided)
def_button_push_2side_desc		An external on/off signal can also be used to control whether or not the button is pressed, allowing you to chain multiple buttons together to unify their outputs.	An external on/off signal can also be used to control whether or not the button is pressed, allowing you to chain multiple buttons together to unify their outputs.
def_button_push_2side_s_desc		A button that outputs an on signal when you are pressing [e] on it, and an off signal when you are not.	A button that outputs an on signal when you are pressing [e] on it, and an off signal when you are not.
def_button_push_2side_node_0_label		Pressed	Pressed
def_button_push_2side_node_0_desc		Outputs an on signal when you are pressing [e] on the button, and an off signal otherwise.	Outputs an on signal when you are pressing [e] on the button, and an off signal otherwise.
def_button_push_2side_node_1_label		External Input	External Input
def_button_push_2side_node_1_desc		Allows an external on/off signal to control whether or not the button is pressed.	Allows an external on/off signal to control whether or not the button is pressed.
def_button_push_2side_node_2_label		Electric	Electric
def_button_push_2side_node_2_desc		Electrical power connection.	Electrical power connection.
def_button_throttle_lever_name		Throttle Lever	Throttle Lever
def_button_throttle_lever_desc		The output ranges from -1 to 1, and will increase/decrease depending on which half of the lever you interact with. The two on/off inputs can be used to control the lever externally with different buttons. The speed of the lever can be configured by selecting this component with the select tool.	The output ranges from -1 to 1, and will increase/decrease depending on which half of the lever you interact with. The two on/off inputs can be used to control the lever externally with different buttons. The speed of the lever can be configured by selecting this component with the select tool.
def_button_throttle_lever_s_desc		A throttle lever that acts as two buttons controlling one number output.	A throttle lever that acts as two buttons controlling one number output.
def_button_throttle_lever_node_0_label		Up	Up
def_button_throttle_lever_node_0_desc		Increases the Throttle Value when input is held.	Increases the Throttle Value when input is held.
def_button_throttle_lever_node_1_label		Down	Down
def_button_throttle_lever_node_1_desc		Decreases the Throttle Value when input is held.	Decreases the Throttle Value when input is held.
def_button_throttle_lever_node_2_label		Throttle	Throttle
def_button_throttle_lever_node_2_desc		Outputs the stored Throttle Value.	Outputs the stored Throttle Value.
def_button_throttle_lever_node_3_label		Electric	Electric
def_button_throttle_lever_node_3_desc		Electrical power connection.	Electrical power connection.
def_button_toggle_name		Toggle Button	Toggle Button
def_button_toggle_desc		An external on/off signal can also be used to control whether or not the button is pressed, allowing you to chain multiple buttons together to unify their outputs. The button's default state can be configured by selecting it with the select component.	An external on/off signal can also be used to control whether or not the button is pressed, allowing you to chain multiple buttons together to unify their outputs. The button's default state can be configured by selecting it with the select component.
def_button_toggle_s_desc		A button that toggles between sending an on or off signal when you press [e] on it.	A button that toggles between sending an on or off signal when you press [e] on it.
def_button_toggle_node_0_label		Toggled	Toggled
def_button_toggle_node_0_desc		Outputs an on/off signal that can be toggled by pressing [e] on the button.	Outputs an on/off signal that can be toggled by pressing [e] on the button.
def_button_toggle_node_1_label		External Input	External Input
def_button_toggle_node_1_desc		Allows an external on/off signal to control whether or not the button is pressed.	Allows an external on/off signal to control whether or not the button is pressed.
def_button_toggle_node_2_label		Electric	Electric
def_button_toggle_node_2_desc		Electrical power connection.	Electrical power connection.
def_button_toggle_2side_name		Toggle Button (2 Sided)	Toggle Button (2 Sided)
def_button_toggle_2side_desc		An external on/off signal can also be used to control whether or not the button is pressed, allowing you to chain multiple buttons together to unify their outputs. The button's default state can be configured by selecting it with the select component.	An external on/off signal can also be used to control whether or not the button is pressed, allowing you to chain multiple buttons together to unify their outputs. The button's default state can be configured by selecting it with the select component.
def_button_toggle_2side_s_desc		A button that toggles between sending an on or off signal when you press [e] on it.	A button that toggles between sending an on or off signal when you press [e] on it.
def_button_toggle_2side_node_0_label		Toggled	Toggled
def_button_toggle_2side_node_0_desc		Outputs an on/off signal that can be toggled by pressing [e] on the button.	Outputs an on/off signal that can be toggled by pressing [e] on the button.
def_button_toggle_2side_node_1_label		External Input	External Input
def_button_toggle_2side_node_1_desc		Allows an external on/off signal to control whether or not the button is pressed.	Allows an external on/off signal to control whether or not the button is pressed.
def_button_toggle_2side_node_2_label		Electric	Electric
def_button_toggle_2side_node_2_desc		Electrical power connection.	Electrical power connection.
def_buzzer_name		Buzzer	Buzzer
def_buzzer_desc		The type of sound, volume, and pitch can be customised by selecting this component with the select tool. It has an audible range of 30m.	The type of sound, volume, and pitch can be customised by selecting this component with the select tool. It has an audible range of 30m.
def_buzzer_s_desc		A buzzer that will play a selected sound when toggled from off to on.	A buzzer that will play a selected sound when toggled from off to on.
def_buzzer_node_0_label		Buzzer	Buzzer
def_buzzer_node_0_desc		Plays the selected sound when toggled from off to on.	Plays the selected sound when toggled from off to on.
def_buzzer_node_1_label		Electric	Electric
def_buzzer_node_1_desc		Electrical power connection.	Electrical power connection.
def_camera_gimbal_name		Camera Gimbal	Camera Gimbal
def_camera_gimbal_desc		Has an infrared mode as well as pivot controls, a variable field of view.	Has an infrared mode as well as pivot controls, a variable field of view.
def_camera_gimbal_s_desc		A gimbal camera with video output feed.	A gimbal camera with video output feed.
def_camera_gimbal_node_0_label		Camera Feed	Camera Feed
def_camera_gimbal_node_0_desc
def_camera_gimbal_node_1_label		Electric	Electric
def_camera_gimbal_node_1_desc
def_camera_gimbal_node_2_label		Infrared Mode	Infrared Mode
def_camera_gimbal_node_2_desc		Controls whether or not the infrared mode is switched on.	Controls whether or not the infrared mode is switched on.
def_camera_gimbal_node_3_label		Field of View	Field of View
def_camera_gimbal_node_3_desc		Controls the level of zoom of the camera.	Controls the level of zoom of the camera.
def_camera_gimbal_node_4_label		Pivot Rotation	Pivot Rotation
def_camera_gimbal_node_4_desc		Controls the rotation of the camera base.	Controls the rotation of the camera base.
def_camera_gimbal_node_5_label		Pitch Rotation	Pitch Rotation
def_camera_gimbal_node_5_desc		Controls the rotation of the camera head.	Controls the rotation of the camera head.
def_camera_gimbal_laser_name		Camera Stabilized	Camera Stabilized
def_camera_gimbal_laser_desc		Has an infrared mode, variable field of view, stabilized and tracking modes.	Has an infrared mode, variable field of view, stabilized and tracking modes.
def_camera_gimbal_laser_s_desc		A stabilized gimbal camera with video output feed.	A stabilized gimbal camera with video output feed.
def_camera_gimbal_laser_node_0_label		Camera Feed	Camera Feed
def_camera_gimbal_laser_node_0_desc
def_camera_gimbal_laser_node_1_label		Electric	Electric
def_camera_gimbal_laser_node_1_desc
def_camera_gimbal_laser_node_2_label		Infrared Mode	Infrared Mode
def_camera_gimbal_laser_node_2_desc		Controls whether or not the infrared mode is switched on.	Controls whether or not the infrared mode is switched on.
def_camera_gimbal_laser_node_3_label		Enable Laser	Enable Laser
def_camera_gimbal_laser_node_3_desc		Enables the Laser.	Enables the Laser.
def_camera_gimbal_laser_node_4_label		Field of View	Field of View
def_camera_gimbal_laser_node_4_desc		Controls the level of zoom of the camera.	Controls the level of zoom of the camera.
def_camera_gimbal_laser_node_5_label		Pivot Rotation	Pivot Rotation
def_camera_gimbal_laser_node_5_desc		Controls the rotation of the camera base.	Controls the rotation of the camera base.
def_camera_gimbal_laser_node_6_label		Pitch Rotation	Pitch Rotation
def_camera_gimbal_laser_node_6_desc		Controls the rotation of the camera head.	Controls the rotation of the camera head.
def_camera_gimbal_laser_node_7_label		Laser Distance	Laser Distance
def_camera_gimbal_laser_node_7_desc		The measured distance in meters.	The measured distance in meters.
def_camera_gimbal_laser_node_8_label		Stabilizer Mode	Stabilizer Mode
def_camera_gimbal_laser_node_8_desc		Enable stabilization to keep the camera focused in its current direction.	Enable stabilization to keep the camera focused in its current direction.
def_camera_gimbal_laser_node_9_label		Tracker Mode	Tracker Mode
def_camera_gimbal_laser_node_9_desc		Enable tracking to direct the camera at the current lazed position.	Enable tracking to direct the camera at the current lazed position.
def_camera_gimbal_laser_node_10_label		Composite Output	Composite Output
def_camera_gimbal_laser_node_10_desc		x, y, z output for the laser target in channels 1, 2, 3 respectively.	x, y, z output for the laser target in channels 1, 2, 3 respectively.
def_camera_gimbal_laser_node_11_label		Laser Wavelength	Laser Wavelength
def_camera_gimbal_laser_node_11_desc		The specific light wavelength to emit (whole number).	The specific light wavelength to emit (whole number).
def_camera_med_name		Camera Medium	Camera Medium
def_camera_med_desc		Has infrared mode as well as variable field of view.	Has infrared mode as well as variable field of view.
def_camera_med_s_desc		A camera with video output feed.	A camera with video output feed.
def_camera_med_node_0_label		Camera Feed	Camera Feed
def_camera_med_node_0_desc
def_camera_med_node_1_label		Electric	Electric
def_camera_med_node_1_desc
def_camera_med_node_2_label		Infrared Mode	Infrared Mode
def_camera_med_node_2_desc		Controls whether or not the infrared mode is switched on.	Controls whether or not the infrared mode is switched on.
def_camera_med_node_3_label		Field of View	Field of View
def_camera_med_node_3_desc		Controls the level of zoom of the camera.	Controls the level of zoom of the camera.
def_camera_small_name		Camera Small	Camera Small
def_camera_small_desc
def_camera_small_s_desc		A camera with video output feed.	A camera with video output feed.
def_camera_small_node_0_label		Camera Feed	Camera Feed
def_camera_small_node_0_desc
def_camera_small_node_1_label		Electric	Electric
def_camera_small_node_1_desc
def_catalytic_converter_name		Catalytic Converter	Catalytic Converter
def_catalytic_converter_desc		Catalytic converter that removes fumes and decreases the number of exhaust particles emitted from an exhaust.	Catalytic converter that removes fumes and decreases the number of exhaust particles emitted from an exhaust.
def_catalytic_converter_s_desc		Reduces particles from exhausts.	Reduces particles from exhausts.
def_catalytic_converter_node_0_label		Exhaust In	Exhaust In
def_catalytic_converter_node_0_desc
def_catalytic_converter_node_1_label		Exhaust Out	Exhaust Out
def_catalytic_converter_node_1_desc
def_clock_name		Clock	Clock
def_clock_desc		The clock has a display to visualise the time of day or night. The 12 o'clock position is the white arrow on the face of the display.	The clock has a display to visualise the time of day or night. The 12 o'clock position is the white arrow on the face of the display.
def_clock_s_desc		An analogue clock display that outputs a number value representing the time of day.	An analogue clock display that outputs a number value representing the time of day.
def_clock_node_0_label		Time	Time
def_clock_node_0_desc		The time as a factor of a day, from 0 (midnight) to 1 (midnight).	The time as a factor of a day, from 0 (midnight) to 1 (midnight).
def_clock_node_1_label		Backlight	Backlight
def_clock_node_1_desc		Enables the backlight when receiving an on signal.	Enables the backlight when receiving an on signal.
def_clock_node_2_label		Electric	Electric
def_clock_node_2_desc		Electrical power connection.	Electrical power connection.
def_compass_name		Compass Ball	Compass Ball
def_compass_desc		It is one of several tools that can be used to aid navigation in low visibility situations. An on/off signal controls whether or not the compass' backlight is enabled.	It is one of several tools that can be used to aid navigation in low visibility situations. An on/off signal controls whether or not the compass' backlight is enabled.
def_compass_s_desc		The compass rotates to point to north on the map.	The compass rotates to point to north on the map.
def_compass_node_0_label		Backlight	Backlight
def_compass_node_0_desc		Enables the backlight when receiving an on signal.	Enables the backlight when receiving an on signal.
def_compass_node_1_label		Electric	Electric
def_compass_node_1_desc		Electrical power connection.	Electrical power connection.
def_compass_sensor_name		Compass Sensor	Compass Sensor
