id	description	en	local
def_connector_large_s_desc		A magnetic connector that can be used to attach two or more vehicles together.	他の乗り物を接続できる大型の磁気コネクターです.
def_connector_large_node_0_label		Magnet Toggle	コネクター起動
def_connector_large_node_0_desc		Enables the connector's magnet when receiving an on signal.	オン信号を受け取るとコネクターを起動します.
def_connector_large_node_1_label		On/Off Sent	オン/オフ信号送信
def_connector_large_node_1_desc		An on/off signal to send to a connected magnet.	相手のコネクターへオン/オフ信号を送信します.
def_connector_large_node_2_label		Number Received	数値信号受信
def_connector_large_node_2_desc		The number value received from a connected magnet.	相手のコネクターからの数値信号を受信します.
def_connector_large_node_3_label		Number Sent	数値信号送信
def_connector_large_node_3_desc		A number signal to send to a connected magnet.	相手のコネクターへ数値信号信号を送信します.
def_connector_large_node_4_label		Connected	接続済み
def_connector_large_node_4_desc		Outputs an on signal if the connector is attached to another connector.	他のコネクターと接続されるとオン信号が出力されます.
def_connector_large_node_5_label		On/Off Received	オン/オフ信号受信
def_connector_large_node_5_desc		The on/off signal received from a connected magnet.	相手のコネクターからのオン/オフ信号を受信します.
def_connector_large_node_6_label		RPS	動力
def_connector_large_node_6_desc		Power connection for transfering mechanical energy to another connector.	コネクター間で動力の伝達ができます.
def_connector_large_node_7_label		Electric	電力
def_connector_large_node_7_desc		Electrical power connection.	電力網から電力を供給します.
def_connector_large_node_8_label		Fluid	流体
def_connector_large_node_8_desc		Fluid connection for transfering fluid to another connector.	コネクター間で流体の伝達ができます.
def_connector_large_node_9_label		Composite Data Send	複合信号送信
def_connector_large_node_9_desc		Composite data to send to the connected connector.	相手のコネクターへ複合信号を送信します.
def_connector_large_node_10_label		Composite Data Receive	複合信号受信
def_connector_large_node_10_desc		Composite data to receive from the connected connector.	相手のコネクターからの複合信号を受信します.
def_connector_large_node_11_label		Video Data Send	映像信号送信
def_connector_large_node_11_desc		Video data to send to the connected connector.	相手のコネクターへ映像信号を送信します.
def_connector_large_node_12_label		Video Data Receive	映像信号受信
def_connector_large_node_12_desc		Video data to receive from the connected connector.	相手のコネクターからの映像信号を受信します.
def_connector_slider_gripper_name		Sliding Connector Gripper	コネクター (レール)
def_connector_slider_gripper_desc		The gripper will attach to a track when they are aligned and close enough, and will detach when it slides off the end or receives an on signal to the connector release input. The brake can be enabled to prevent the gripper from sliding along the track.	コネクターレールが近くにあると自動的に接続されます. レールから外れるか「コネクターの切り離し」ノードへオン信号が入力される接続が解除されます. 「ブレーキ」ノードへオン信号が入力されるとコネクターがレール上を移動するのを防ぐことができます.
def_connector_slider_gripper_s_desc		A connector that will attach to and slide along a connector track.	コネクターレールに接続し, レール上を移動できるコネクターです.
def_connector_slider_gripper_node_0_label		Release Connector	コネクターの切り離し
def_connector_slider_gripper_node_0_desc		Releases the connector when receiving an on signal.	オン信号を受け取る間は他のコネクターレールと接続されません.
def_connector_slider_gripper_node_1_label		Brake	ブレーキ
def_connector_slider_gripper_node_1_desc		Enables the gripper's brake to keep it in place on the track.	オン信号を受け取るとはブレーキがかかり, コネクターがレール上を移動するのを防げます.
def_connector_slider_track_name		Sliding Connector Track	コネクター (レール土台)
def_connector_slider_track_desc		Gripper connectors will attach to the track when aligned and close enough, and will detach when they slide off the end.	コネクターレールが近くにあると自動的に接続されます. レールから外れるかコネクター (レール) の「コネクターの切り離し」ノードへオン信号が入力される接続が解除されます.
def_connector_slider_track_s_desc		A connector that can be used to build a track for grippers to attach to.	コネクター (レール) が接続できるレールを作成できるレールです.
def_connector_small_name		Small Connector	コネクター (点)
def_connector_small_desc		Two small connectors will attach when they are within close proximity and both are switched on. An on/off output allows you to check whether or not this connector is currently attached to anything.	起動している2つのコネクターが近くにあると自動的に接続されます. このコネクターは点に沿って接続され, この点に沿って回転します. コネクターが接続されているかどうかはオン/オフ信号を通して確認できます.
def_connector_small_s_desc		A small magnetic connector that can be used to attach two or more vehicles together.	他の乗り物を接続できる小型の磁気コネクターです.
def_connector_small_node_0_label		Magnet Toggle	コネクター起動
def_connector_small_node_0_desc		Enables the connector's magnet when receiving an on signal.	オン信号を受け取るとコネクターを起動します.
def_connector_small_node_1_label		Connected	接続済み
def_connector_small_node_1_desc		Outputs an on signal if the connector is attached to another connector.	他のコネクターと接続されるとオン信号が出力されます.
def_connector_small_node_2_label		Electric	電力
def_connector_small_node_2_desc		Electrical power connection.	電力網から電力を供給します.
def_connector_small_node_3_label		Composite Data Send	複合信号送信
def_connector_small_node_3_desc		Composite data to send to the connected connector.	相手のコネクターへ複合信号を送信します.
def_connector_small_node_4_label		Composite Data Receive	複合信号受信
def_connector_small_node_4_desc		Composite data to receive from the connected connector.	相手のコネクターからの複合信号を受信します.
def_connector_small_node_5_label		Video Data Send	映像信号送信
def_connector_small_node_5_desc		Video data to send to the connected connector.	相手のコネクターへ映像信号を送信します.
def_connector_small_node_6_label		Video Data Receive	映像信号受信
def_connector_small_node_6_desc		Video data to receive from the connected connector.	相手のコネクターからの映像信号を受信します.
def_connector_water_name		Fluid Connector	コネクター (流体)
def_connector_water_desc		Two fluid connectors will attach when they are within close proximity. When connected, fluid will flow freely between the connectors.	流体コネクター同士が接近すると自動で接続されます. 接続されたコネクター間では流体が自由に移動します (流体を移動させたい場合はポンプなどを使用してください.).
def_connector_water_s_desc		A fluid connector that can be used to transfer fluid between vehicles.	乗り物間で流体を移動させるのに使用されるコネクターです.
def_connector_water_node_0_label		Release Connector	コネクターの切り離し
def_connector_water_node_0_desc		Release the connector when receiving an on signal.	オン信号を受け取る間は他のコネクターと接続されません.
def_connector_water_node_1_label		Connected	接続済み
def_connector_water_node_1_desc		Outputs an on signal if the connector is attached to another connector.	他のコネクターと接続されるとオン信号が出力されます.
def_connector_water_node_2_label		Fluid	流体
def_connector_water_node_2_desc		Fluid connection to link to another fluid connector.	コネクター間で流体が自由に移動します.
def_connector_water_node_3_label		Composite Data Send	複合信号送信
def_connector_water_node_3_desc		Composite data to send to the connected connector.	相手のコネクターへ複合信号を送信します.
def_connector_water_node_4_label		Composite Data Receive	複合信号受信
def_connector_water_node_4_desc		Composite data to receive from the connected connector.	相手のコネクターからの複合信号を受信します.
def_connector_water_node_5_label		Video Data Send	映像信号送信
def_connector_water_node_5_desc		Video data to send to the connected connector.	相手のコネクターへ映像信号を送信します.
def_connector_water_node_6_label		Video Data Receive	映像信号受信
def_connector_water_node_6_desc		Video data to receive from the connected connector.	相手のコネクターからの映像信号を受信します.
def_control_fin_large_name		Control Fin Large	可動翼 (頂点, 大)
def_control_fin_large_desc		It takes a number input between -1 and 1 that represent the two extremes of the fin's rotation.	-1から1の数値信号を入力して翼の向きを制御します.
def_control_fin_large_s_desc		The fin can be attached to the surface of a vehicle to direct its motion.	乗り物に取り付けて, 乗り物の動きを制御できる大型の可動翼です.
def_control_fin_large_node_0_label		Rotation	翼の向き
def_control_fin_large_node_0_desc		Accepts a value between -1 and 1 that represent the two extremes of the fin's rotation.	-1から1の数値信号の入力から翼の向きを制御します.
def_control_fin_large_node_1_label		Electric	電力
def_control_fin_large_node_1_desc		Electrical power connection.	電力網から電力を供給します.
def_control_fin_medium_name		Control Fin Medium	可動翼 (頂点, 中)
def_control_fin_medium_desc		It takes a number input between -1 and 1 that represent the two extremes of the fin's rotation.	-1から1の数値信号を入力して翼の向きを制御します.
def_control_fin_medium_s_desc		The fin can be attached to the surface of a vehicle to direct its motion.	乗り物に取り付けて, 乗り物の動きを制御できる中型の可動翼です.
def_control_fin_medium_node_0_label		Rotation	翼の向き
def_control_fin_medium_node_0_desc		Accepts a value between -1 and 1 that represent the two extremes of the fin's rotation.	-1から1の数値信号の入力から翼の向きを制御します.
def_control_fin_medium_node_1_label		Electric	電力
def_control_fin_medium_node_1_desc		Electrical power connection.	電力網から電力を供給します.
def_control_fin_small_name		Control Fin Small	可動翼 (頂点, 小)
def_control_fin_small_desc		It takes a number input between -1 and 1 that represent the two extremes of the fin's rotation.	-1から1の数値信号を入力して翼の向きを制御します.
def_control_fin_small_s_desc		The fin can be attached to the surface of a vehicle to direct its motion.	乗り物に取り付けて, 乗り物の動きを制御できる小型の可動翼です.
def_control_fin_small_node_0_label		Rotation	翼の向き
def_control_fin_small_node_0_desc		Accepts a value between -1 and 1 that represent the two extremes of the fin's rotation.	-1から1の数値信号の入力から翼の向きを制御します.
def_control_fin_small_node_1_label		Electric	電力
def_control_fin_small_node_1_desc		Electrical power connection.	電力網から電力を供給します.
def_control_surface_large_name		Control Surface (Large)	可動翼 (平面, 大)
def_control_surface_large_desc		It takes a number input between -1 and 1 that represent the two extremes of the fin's rotation.	-1から1の数値信号を入力して翼の向きを制御します.
def_control_surface_large_s_desc		The control surface can be attached to a surface of the vehicle to apply force as air or water is flowing over it.	乗り物に取り付けて, 乗り物の動きを制御できる大型の可動翼です.
def_control_surface_large_node_0_label		Rotation	翼の向き
def_control_surface_large_node_0_desc		Accepts a value between -1 and 1 that represent the two extremes of the rudder's rotation.	-1から1の数値信号の入力から翼の向きを制御します.
def_control_surface_large_node_1_label		Electric	電力
def_control_surface_large_node_1_desc		Electrical power connection.	電力網から電力を供給します.
def_control_surface_medium_name		Control Surface (Medium)	可動翼 (平面, 中)
def_control_surface_medium_desc		It takes a number input between -1 and 1 that represent the two extremes of the fin's rotation.	-1から1の数値信号を入力して翼の向きを制御します.
def_control_surface_medium_s_desc		The control surface can be attached to a surface of the vehicle to apply force as air or water is flowing over it.	乗り物に取り付けて, 乗り物の動きを制御できる中型の可動翼です.
def_control_surface_medium_node_0_label		Rotation	翼の向き
def_control_surface_medium_node_0_desc		Accepts a value between -1 and 1 that represent the two extremes of the rudder's rotation.	-1から1の数値信号の入力から翼の向きを制御します.
def_control_surface_medium_node_1_label		Electric	電力
def_control_surface_medium_node_1_desc		Electrical power connection.	電力網から電力を供給します.
def_control_surface_small_name		Control Surface (Small)	可動翼 (平面, 小)
def_control_surface_small_desc		It takes a number input between -1 and 1 that represent the two extremes of the fin's rotation.	-1から1の数値信号を入力して翼の向きを制御します.
def_control_surface_small_s_desc		The control surface can be attached to a surface of the vehicle to apply force as air or water is flowing over it.	乗り物に取り付けて, 乗り物の動きを制御できる小型の可動翼です.
def_control_surface_small_node_0_label		Rotation	翼の向き
def_control_surface_small_node_0_desc		Accepts a value between -1 and 1 that represent the two extremes of the rudder's rotation.	-1から1の数値信号の入力から翼の向きを制御します.
def_control_surface_small_node_1_label		Electric	電力
def_control_surface_small_node_1_desc		Electrical power connection.	電力網から電力を供給します.
def_data_logger_bool_name		Data Logger (Bool)	データ監視ブロック (オンオフ信号)
def_data_logger_bool_desc		Link to the bool output node of another component to record data for unit tests.	オンオフ信号出力と接続してデータを記録します.
def_data_logger_bool_s_desc		A bool data logging block for unit tests.	単体テストのためにオンオフ信号を監視できるブロックです.
def_data_logger_bool_node_0_label		Bool In	オンオフ信号入力
def_data_logger_bool_node_0_desc			監視を行うオンオフ信号の出力と接続します.
def_data_logger_number_name		Data Logger (Number)	データ監視ブロック (数値信号)
def_data_logger_number_desc		Link to the number output node of another component to record data for unit tests.	数値信号出力と接続してデータを記録します.
def_data_logger_number_s_desc		A number data logging block for unit tests.	単体テストのために数値信号を監視できるブロックです.
def_data_logger_number_node_0_label		Number In	数値信号入力
def_data_logger_number_node_0_desc			監視を行う数値信号の出力と接続します.
def_desalinator_name		Desalinator	淡水化装置
def_desalinator_desc		A pipe with a fine desalination filter that slowly converts seawater to freshwater and allows free flow of freshwater.	海水に脱塩処理を施し, ゆっくりと淡水に変えます.
def_desalinator_s_desc		A pipe that slowly converts seawater to freshwater.	海水を淡水にする装置です.
def_desalinator_node_0_label		Fluid In	流体注入
def_desalinator_node_0_desc		Seawater connection.	海水を注入します.
def_desalinator_node_1_label		Fluid Out	流体排出
def_desalinator_node_1_desc		Freshwater connection.	処理された淡水が排水されます.
def_dial_name		Dial	ダイヤル
def_dial_desc		The dial's face represents values ranging from -1 to 1 by default. This can be configured by selecting it with the select tool. Values outside this range will cause the needle to wrap around, but can be scaled to fit using additional logic components if necessary. An on/off signal can be used to toggle the backlight.	ダイヤルの表示面は最小値から最大値の間の値を針の回転によって表示します. 入力される数値が設定範囲から超えると針が振り切れます. 必要に応じて針が振り切れないような論理システムを組んで下さい. ダイヤルの最小値と最大値はプロパティウィンドウから設定できます.
def_dial_s_desc		A dial with a rotating needle for displaying numerical values.	入力されている数値を回転する針によって表示するダイヤルです.
def_dial_node_0_label		Value to Display	表示する数値
def_dial_node_0_desc		The numerical value to display, ideally scaled to be within a -1 to 1 range.	表示する数値信号です.
def_dial_node_1_label		Backlight	バックライト
def_dial_node_1_desc		Enables the backlight when receiving an on signal.	オン信号を受け取るとバックライトが点灯します.
def_dial_node_2_label		Electric	電力
def_dial_node_2_desc		Electrical power connection.	電力網から電力を供給します.
def_digital_display_name		Digital Display	デジタルディスプレイ
def_digital_display_desc		The position of the decimal point can be configured by selecting this component with the select tool, allowing you to control the number of decimal places in the output.	小数点の位置または小数点なしはプロパティウィンドウから設定できます.
def_digital_display_s_desc		Displays a 5 digit (6 with decimal point disabled) signed numerical value with optional decimal point.	入力された数値を5桁の小数または6桁の整数で表示するディスプレイです.
def_digital_display_node_0_label		Value to Display	表示する数値
def_digital_display_node_0_desc		The numerical value to display.	表示する数値信号を入力します.
def_digital_display_node_1_label		Backlight	バックライト
def_digital_display_node_1_desc		Enables the backlight when receiving an on signal.	オン信号を受け取るとバックライトが点灯します.
def_digital_display_node_2_label		Electric	電力
def_digital_display_node_2_desc		Electrical power connection.	電力網から電力を供給します.
def_distance_sensor_name		Distance Sensor	距離計
def_distance_sensor_desc		The reading can be read from the sensor's number output and is measured in metres (1 metre = 4 blocks).	測定結果はメートル単位 (1メートル = 4ブロック) で出力されます.
def_distance_sensor_s_desc		A laser distance sensor with a maximum measurement range of 500m.	500メートルまでの長さを計測できるレーザーによる距離計です.
def_distance_sensor_node_0_label		Distance	距離
def_distance_sensor_node_0_desc		The measured distance in metres.	測定結果をメートル単位で出力します.
def_distance_sensor_node_1_label		Electric	電力
def_distance_sensor_node_1_desc		Electrical power connection.	電力網から電力を供給します.
def_distillation_tray_name		Fractional Distillation Port	分留排出口
def_distillation_tray_desc		Place the port inside of an enclosed volume to connect to that volume. Outputs different fluids based on height relative to the bottom of the compartment.	カスタムタンクなどの密閉空間に設置すると, 底面からの設置位置の高さに応じた流体が排出されます.
def_distillation_tray_s_desc		Port used to collect output in a distillation column.	蒸留塔の液体を回収するための流体口です.
def_distillation_tray_node_0_label		Fluid	流体
def_distillation_tray_node_0_desc		Collects distilled fluids from an enclosed volume.	分留した流体を回収します.
def_door_name		Sliding Door (Electric)	ドア (引き戸, 電動)
def_door_desc			
def_door_s_desc		Sliding door that can be opened and closed using an on/off signal.	オン/オフ信号で開閉ができる引き戸式のドアです.
def_door_node_0_label		Open/Close	開閉
def_door_node_0_desc		Opens the door when receiving an on signal, and closes it when receiving an off signal.	オン信号を受け取るとドアを開け, オフ信号を受け取るとドアを閉めます.
def_door_node_1_label		Electric	電力
def_door_node_1_desc		Electrical power connection.	電力網から電力を供給します.
def_door_dock_large_name		Hinged Dock Door	ドア (押し戸, ドッキング)
def_door_dock_large_desc			
def_door_dock_large_s_desc		Hinged door that can be opened and closed using an on/off signal.	オン/オフ信号で開閉ができる押し戸式のドアです.
def_door_dock_large_node_0_label		Open/Close	開閉
def_door_dock_large_node_0_desc		Opens the door when receiving an on signal, and closes it when receiving an off signal.	オン信号を受け取るとドアを開け, オフ信号を受け取るとドアを閉めます.
def_door_dock_large_node_1_label		Magnet Toggle	コネクター起動
def_door_dock_large_node_1_desc		Enables the door's magnet when receiving an on signal.	オン信号を受け取るとコネクターを起動します.
def_door_dock_large_node_2_label		Connected	接続済み
def_door_dock_large_node_2_desc		Outputs an on signal if the door is attached to another door.	他のコネクターと接続されるとオン信号が出力されます.
def_door_dock_large_node_3_label		On/Off Sent	オン/オフ信号送信
def_door_dock_large_node_3_desc		An on/off signal to send to a connected door.	相手のコネクターへオン/オフ信号を送信します.
def_door_dock_large_node_4_label		On/Off Received	オン/オフ信号受信
def_door_dock_large_node_4_desc		The on/off signal received from a connected door.	相手のコネクターからのオン/オフ信号を受信します.
def_door_dock_large_node_5_label		Number Sent	数値信号送信
def_door_dock_large_node_5_desc		A number signal to send to a connected door.	相手のコネクターへ数値信号を送信します.
def_door_dock_large_node_6_label		Number Received	数値信号受信
def_door_dock_large_node_6_desc		The number value received from a connected door.	相手のコネクターからの数値信号を受信します.
def_door_dock_large_node_7_label		Electric	電力
def_door_dock_large_node_7_desc		Electrical power connection.	電力網から電力を供給します.
def_door_dock_large_node_8_label		Composite output	複合信号送信
def_door_dock_large_node_8_desc		Composite data output.	相手のコネクターへ複合信号を送信します.
def_door_dock_large_node_9_label		Composite input	複合信号受信
def_door_dock_large_node_9_desc		Composite data input.	相手のコネクターへ複合信号を受信します.
def_door_dock_small_name		Hinged Dock Hatch	ハッチ (押し戸, ドッキング)
def_door_dock_small_desc			
def_door_dock_small_s_desc		Hinged door that can be opened and closed using an on/off signal.	オン/オフ信号で開閉ができる押し戸式のハッチです.
def_door_dock_small_node_0_label		Open/Close	開閉
def_door_dock_small_node_0_desc		Opens the door when receiving an on signal, and closes it when receiving an off signal.	オン信号を受け取るとハッチを開け, オフ信号を受け取るとハッチを閉めます.
def_door_dock_small_node_1_label		Magnet Toggle	コネクター起動
def_door_dock_small_node_1_desc		Enables the door's magnet when receiving an on signal.	オン信号を受け取るとコネクターを起動します.
def_door_dock_small_node_2_label		Connected	接続済み
def_door_dock_small_node_2_desc		Outputs an on signal if the door is attached to another door.	他のコネクターと接続されるとオン信号が出力されます.
def_door_dock_small_node_3_label		On/Off Sent	オン/オフ信号送信
def_door_dock_small_node_3_desc		An on/off signal to send to a connected door.	相手のコネクターへオン/オフ信号を送信します.
def_door_dock_small_node_4_label		On/Off Received	オン/オフ信号受信
def_door_dock_small_node_4_desc		The on/off signal received from a connected door.	相手のコネクターからのオン/オフ信号を受信します.
def_door_dock_small_node_5_label		Number Sent	数値信号送信
def_door_dock_small_node_5_desc		A number signal to send to a connected door.	相手のコネクターへ数値信号を送信します.
def_door_dock_small_node_6_label		Number Received	数値信号受信
def_door_dock_small_node_6_desc		The number value received from a connected door.	相手のコネクターからの数値信号を受信します.
def_door_dock_small_node_7_label		Electric	電力
def_door_dock_small_node_7_desc		Electrical power connection.	電力網から電力を供給します.
def_door_dock_small_node_8_label		Composite output	複合信号送信
def_door_dock_small_node_8_desc		Composite data output.	相手のコネクターへ複合信号を送信します.
def_door_dock_small_node_9_label		Composite input	複合信号受信
def_door_dock_small_node_9_desc		Composite data input.	相手のコネクターへ複合信号を受信します.
def_door_frame_controller_name		Door Frame Controller	カスタムドア枠制御装置
def_door_frame_controller_desc		Placing the controller as part of a door frame will let you lock the door when closed, and check whether the door is closed enough to be forming a seal. Only one controller should be placed per frame.	カスタムドアのドア枠の一部に設置することで, ドアの完全な施錠したり, オン/オフ信号によってドアが完全に閉じられているかの確認をしたりできます. 制御装置はドア1つにつき1つしか設置できません.
def_door_frame_controller_s_desc		Controller unit for sealing door frames.	ドアを完全に施錠する制御装置です.
def_door_frame_controller_node_0_label		Lock Seal	施錠
def_door_frame_controller_node_0_desc		Controls if the door panel will lock in place when sealed.	オン信号を受け取ると, ドアが施錠可能位置にある場合は施錠します.
def_door_frame_controller_node_1_label		Seal State	施錠状態
def_door_frame_controller_node_1_desc		Indicates if the door panel is closed and forming a seal.	ドアが正しく施錠されている場合はオン信号を出力します.
def_door_frame_corner_name		Door Frame Corner	カスタムドア枠 (角)
def_door_frame_corner_desc		To create a valid frame, there must be a continuous loop of frame parts in a consistent orientation with no other parts inside the frame.	枠内に他のブロックがない状態にして, 全ての枠の部品が同じ向きで設置されていないと正しいドア枠として認識されません.
def_door_frame_corner_s_desc		A corner piece for building openings to sealed fluid compartments.	機密可能なカスタムドアを作成する角の部品です.
def_door_frame_straight_name		Door Frame Edge	カスタムドア枠 (辺)
def_door_frame_straight_desc		To create a valid frame, there must be a continuous loop of frame parts in a consistent orientation with no other parts inside the frame.	枠内に他のブロックがない状態にして, 全ての枠の部品が同じ向きで設置されていないと正しいドア枠として認識されません.
def_door_frame_straight_s_desc		A straight edge for building openings to sealed fluid compartments.	機密可能なカスタムドアを作成する辺の部品です.
def_door_manual_name		Sliding Door	ドア (引き戸)
def_door_manual_desc			
def_door_manual_s_desc		Sliding door that can be opened and closed by hand and locked using an on/off signal.	手動で開閉ができる引き戸で, オン/オフ信号で施錠もできます.
def_door_manual_node_0_label		Lock	施錠
def_door_manual_node_0_desc		Locks the door when receiving an on signal.	オン信号を受け取るとドアを施錠します.
def_door_manual_large_name		Hinged Door	ドア (押し戸)
def_door_manual_large_desc			
def_door_manual_large_s_desc		Hinged door that can be opened and closed by hand and locked using an on/off signal.	手動で開閉ができる押し戸で, オン/オフ信号で施錠もできます.
def_door_manual_large_node_0_label		Lock	施錠
def_door_manual_large_node_0_desc		Locks the door when receiving an on signal.	オン信号を受け取るとドアを施錠します.
def_door_manual_sliding_small_name		Sliding Hatch	ハッチ (引き戸)
def_door_manual_sliding_small_desc			
def_door_manual_sliding_small_s_desc		Sliding door that can be opened and closed by hand and locked using an on/off signal.	手動で開閉ができる引き戸式のハッチで, オン/オフ信号で施錠もできます.
def_door_manual_sliding_small_node_0_label		Lock	施錠
def_door_manual_sliding_small_node_0_desc		Locks the door when receiving an on signal.	オン信号を受け取るとハッチを施錠します.
def_door_manual_small_name		Hinged Hatch	ハッチ (押し戸)
def_door_manual_small_desc			
def_door_manual_small_s_desc		Hinged door that can be opened and closed by hand and locked using an on/off signal.	手動で開閉ができる押し戸式のハッチで, オン/オフ信号で施錠もできます.
def_door_manual_small_node_0_label		Lock	施錠
def_door_manual_small_node_0_desc		Locks the door when receiving an on signal.	オン信号を受け取るとハッチを施錠します.
def_door_panel_corner_name		Door Panel Corner	カスタムドア (角)
def_door_panel_corner_desc		A valid door panel can be created with a loop of door panel pieces, filled with blocks flush to the outer face. Door panels must also fill a door frame and be built in their closed position within the frame to be valid.	ドア内に他のブロックがない状態にして, 全てのドアの部品が同じ向きで設置されていないと正しいドアとして認識されません.
def_door_panel_corner_s_desc		A corner piece for building door panels.	機密可能なカスタムドアを作成する角の部品です.
def_door_panel_straight_name		Door Panel Edge	カスタムドア (辺)
def_door_panel_straight_desc		A valid door panel can be created with a loop of door panel pieces, filled with blocks flush to the outer face. Door panels must also fill a door frame and be built in their closed position within the frame to be valid.	ドア内に他のブロックがない状態にして, 全てのドアの部品が同じ向きで設置されていないと正しいドアとして認識されません.
def_door_panel_straight_s_desc		A straight edge piece for building door panels.	機密可能なカスタムドアを作成する辺の部品です.
def_electric_curcuit_breaker_name		Electric Circuit Breaker	電力遮断器
def_electric_curcuit_breaker_desc		When turned on, the circuit breaker closes the circuit, allowing electrical energy to flow between terminals A and B.	遮断器がオンの時は電力Aと電力Bは通電します.
def_electric_curcuit_breaker_s_desc		A circuit breaker for electrical systems.	電力網の遮断器です.
def_electric_curcuit_breaker_node_0_label		Electric A	電力A
def_electric_curcuit_breaker_node_0_desc		Terminal A electrical connection.	遮断器を設置したい電力網の一方を接続します.
def_electric_curcuit_breaker_node_1_label		Electric B	電力B
def_electric_curcuit_breaker_node_1_desc		Terminal B electrical connection.	遮断器を設置したい電力網の一方を接続します.
def_electric_diode_name		Electric Charger	充電器
def_electric_diode_desc		The charger transfers electric one-way between its nodes when there is a significant discrepancy in charge. It can be used to recharge batteries.	入力側の電力量が大きい場合, 電力を入力から出力へ一方的に流します. 電池の充電として利用できます.
def_electric_diode_s_desc		A one-way charger.	電力を一方にしか流さない充電器です.
def_electric_diode_node_0_label		Electric In	電力入力
def_electric_diode_node_0_desc		Input node for electric.	充電器に入力する電力です.
def_electric_diode_node_1_label		Electric Out	電力出力
def_electric_diode_node_1_desc		Output node for electric.	充電器から出力される電力です.
def_electric_relay_name		Electric Relay	電力遮断器 (電動)
def_electric_relay_desc		When turned on, the relay closes the circuit, allowing electrical energy to flow between terminals A and B.	遮断器がオンの時は電力Aと電力Bは通電します.
def_electric_relay_s_desc		A relay for electrical systems.	オン/オフ信号で制御できる, 電力網の遮断器です.
def_electric_relay_node_0_label		Electric A	電力A
def_electric_relay_node_0_desc		Terminal A electrical connection.	遮断器を設置したい電力網の一方を接続します.
def_electric_relay_node_1_label		Electric B	電力B
def_electric_relay_node_1_desc		Terminal B electrical connection.	遮断器を設置したい電力網の一方を接続します.
def_electric_relay_node_2_label		Relay State	遮断器制御
def_electric_relay_node_2_desc		Input to set if the electrical connection is made.	オン信号を受け取ると電力Aと電力Bの間を通電します.
def_electrolyser_name		Hydrogen Electrolyser	水素電解装置
def_electrolyser_desc		Submerge the electrodes into a volume of water and provide electric to separate freshwater.	電極を淡水に浸し電気を供給して電気分解します.
def_electrolyser_s_desc		A machine that separates water into hydrogen and oxygen.	水を水素と酸素に分解する装置です.
def_electrolyser_node_0_label		Oxygen Out	酸素排出
def_electrolyser_node_0_desc			電気分解された酸素が排出されます.
def_electrolyser_node_1_label		Hydrogen Out	水素搬出
def_electrolyser_node_1_desc			電気分解された水素が排出されます.
def_electrolyser_node_2_label		Electric	電力
def_electrolyser_node_2_desc			電気分解に使用する電力を供給します.
def_electrolyser_node_3_label		Enable	稼働
def_electrolyser_node_3_desc			オン信号を受け取ると電気分解が開始されます.
def_engine_name		Small Engine	エンジン (小)
def_engine_desc		An on/off signal controls engine startup and throttle signal controls energy output.	オン/オフ信号でエンジンを始動し, 数値信号によるスロットルで出力を調整します.
def_engine_s_desc		Small diesel engine that can be connected to powered components.	小型のディーゼルエンジンで動力を必要とする部品を取付けて動かすことができます.
def_engine_node_0_label		Throttle	スロットル
def_engine_node_0_desc		Standard value between 0 and 1 that controls the throttle of the engine.	エンジンのスロットルを調整する数値で, 範囲は0から1です.
def_engine_node_1_label		Starter	セルモーター
def_engine_node_1_desc		Increases the engine RPS using electrical power to start up the engine.	エンジンの始動のために, 電力を使用してエンジンを少し回転させます. エンジンが始動した後はオフにしてもエンジンは止まりません.
def_engine_node_2_label		RPS	動力
def_engine_node_2_desc		The power supplied by the engine for inputting to other components.	エンジンの動力を他の動力を必要とする部品に向けて出力します.
def_engine_node_3_label		Fuel	燃料
def_engine_node_3_desc		The fuel supply for the engine.	エンジンを動かすために供給される燃料です.
def_engine_node_4_label		Air	空気
def_engine_node_4_desc		The air supply for the engine.	エンジンを動かすために供給される空気です.
def_engine_node_5_label		In Coolant	冷却媒体吸入
def_engine_node_5_desc		The return flow (cold) for the coolant system.	冷却システムからの温度の低い冷却媒体を吸入します.
def_engine_node_6_label		Out Coolant	冷却媒体排出
def_engine_node_6_desc		The output flow (hot) for the coolant system.	冷却システムへ向けて温まった冷却媒体を排出します.
def_engine_node_7_label		Exhaust	排気
def_engine_node_7_desc		Out flow for combusted fumes from the engine.	エンジンからの排気ガスが排出されます.
def_engine_node_8_label		RPS	秒間エンジン回転数
def_engine_node_8_desc		Output value giving data info on engine speed.	1秒間あたりのエンジンの回転数 (RPS) を出力します.
def_engine_node_9_label		Temperature	温度
def_engine_node_9_desc		Output value giving data info on engine temperature.	エンジンの温度を出力します.
def_engine_node_10_label		Electric	電力
def_engine_node_10_desc		Electrical power connection.	電力網から電力を供給します.
def_engine_diesel_name		Large Engine	エンジン (大)
def_engine_diesel_desc		An on/off signal controls engine startup and throttle signal controls energy output.	オン/オフ信号でエンジンを始動し, 数値信号によるスロットルで出力を調整します.
def_engine_diesel_s_desc		Large diesel engine that can be connected to powered components.	大型のディーゼルエンジンで動力を必要とする部品を取付けて動かすことができます.
def_engine_diesel_node_0_label		Throttle	スロットル
def_engine_diesel_node_0_desc		Standard value between 0 and 1 that controls the throttle of the engine.	エンジンのスロットルを調整する数値で, 範囲は0から1です.
